title,track_id,start_date,end_date,driver_fee,spectator_fee,url,description
LMI Eliminator Memorial Season Kick-Off,1,2026-02-27 16:00:00,2026-03-01 18:00:00,,15.0,https://texasmotorplex.com,Texas Eliminator Bracket Series - Season opener with multiple bracket classes
Texas Eliminator Bracket Series,1,2026-04-24 08:00:00,2026-04-26 18:00:00,,15.0,https://texasmotorplex.com,Texas Eliminator Bracket Series event
Texas Eliminator Bracket Series,1,2026-06-27 08:00:00,2026-06-28 18:00:00,,15.0,https://texasmotorplex.com,Texas Eliminator Bracket Series event
Eli Lopez Memorial Season Finale,1,2026-07-24 08:00:00,2026-07-25 18:00:00,,15.0,https://texasmotorplex.com,Texas Eliminator Bracket Series - Season finale
