title,track_id,start_date,end_date,driver_fee,spectator_fee,url,description
Pennington Bros. SuperBuck$ Showdown,2,2026-06-04 9:00:00,2026-06-06 23:00:00,40,15,https://www.facebook.com/profile.php?id=61558222352304,Pennington Bros. 3rd Annual Summer SuperBuck$
Pennington Bros. SuperBuck$ Showdown,2,2026-10-29 9:00:00,2026-10-31 23:00:00,40,15,https://www.facebook.com/profile.php?id=61558222352304,Pennington Bros. 3rd Annual Fall SuperBuck$
