title,track_id,start_date,end_date,driver_fee,spectator_fee,url,description
 IHRA Bracket Series,2,2/13/2026 9:00,2/14/2026 23:00,500,40,https://tx2k.com,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,3/13/2026 9:00,3/14/2026 23:00,0,0,https://www.facebook.com/groups/617638237206890/,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,4/3/2026 9:00,4/4/2026 23:00,0,0,https://racewarsusa.com,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,5/15/2026 9:00,5/16/2026 23:00,100,25,https://www.nhradiv4.com,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,7/10/2026 9:00,7/11/2026 23:00,100,25,https://www.nhradiv4.com,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,8/7/2026 9:00,8/8/2026 23:00,150,25,https://www.raceflickerpromotions.com/springstampede,Xtreme IHRA Bracket Series
 IHRA Bracket Series,2,9/18/2026 9:00,9/19/2026 23:00,0,0,https://streetcar-takeover.com,Xtreme IHRA Bracket Series
Team Finals - IHRA Bracket Series,2,10/8/2026 9:00,10/10/2026 23:00,0,0,https://www.facebook.com/groups/1193073251712918,Team Finals - Xtreme IHRA Bracket Series
