event_id,name,buyin_fee
13,All Run Warmup (Thursday),100.0
13,Test N Tune (Thursday),40.0
13,Super Pro,450.0
13,No-Box,150.0
13,Duck Race,80.0
13,Jr. Dragsters Gamblers (Friday),40.0
13,Jr. Dragsters,40.0
14,All Run Warmup (Thursday),100.0
14,Test N Tune (Thursday),40.0
14,Super Pro,450.0
14,No-Box,150.0
14,Duck Race,80.0
14,Jr. Dragsters Gamblers (Friday),40.0
14,Jr. Dragsters,40.0
